DA ID,DA Name,SFDC NAME,Calculated
31352,!GP,,TRUE
36351,!青云QingCloud,QingCloud Technologies Corp.,TRUE
33307,.АПСМАЙЛ. LTD,,TRUE
38328,(NUST) National University of Science & Technology,(NUST) National University of Science & Technology,FALSE
28640,(Robots),,TRUE
38242,[24]7.ai,[24]7.ai Inc.,TRUE
32224,//////,,TRUE
29052,✕✕✕✕✕,,TRUE
29593,1&1,,TRUE
30112,1&1 Internet AG,,TRUE
34594,1&1 Mail & Media Development & Technology,1&1 Mail&Media Development & Technology GmbH,TRUE
40359,1&1 Telecommunication SE,,TRUE
37279,10-4 Tech,,TRUE
28867,1000mercis,,TRUE
34856,1001PHARMACIES,,TRUE
28507,100Clouds,,TRUE
32308,101 Ways,,TRUE
33140,10clouds,,TRUE
29425,10Pearls,,TRUE
27447,10Stories,,TRUE
34983,10X,,TRUE
34557,11:FS,,TRUE
29162,12The Ave Labs,,TRUE
36405,1500 Services,,TRUE
33395,17media,,TRUE
29166,18F,,TRUE
36851,18Techs,,TRUE
36068,1CRM Systems Corp.,,TRUE
28376,1point,,TRUE
30837,1science,,TRUE
31875,1Tipi2Bicycles,,TRUE
40155,20 Minutes France,,TRUE
35196,21,,TRUE
29504,21.co,,TRUE
32344,2100Computer Lane,,TRUE
35883,21CT,,TRUE
37499,23mofang,,TRUE
36217,24metrics,,TRUE
34226,24technology,,TRUE
29208,2B Games,,TRUE
30517,2GIS,,TRUE
33538,2iOpenService,,TRUE
27760,2N Telekomunikace,,TRUE
37330,2nd Watch,2nd Watch,FALSE
30228,2ndQuadrant,2ndQuadrant,FALSE
26189,2Scale,,TRUE
31825,2Share Networks B.V,,TRUE
33592,2W Technologies,,TRUE
39527,2Wire,,TRUE
36914,3 Com,,TRUE
27077,360 Trading Networks,,TRUE
33506,360insights,,TRUE
29175,360pi,,TRUE
28331,3ality Technica,,TRUE
32733,3D Robotics,3D Robotics,FALSE
35026,3DR,,TRUE
33571,3DSIM,,TRUE
36804,3for5 Foundation,,TRUE
38960,3H Group,,TRUE
35290,3i Global,,TRUE
29559,3logic Systems,,TRUE
33064,3M,3M,FALSE
33834,42,,TRUE
30135,42 Lines,,TRUE
33466,42 Tech,,TRUE
27713,42on,,TRUE
40296,42reports,,TRUE
35244,42six,,TRUE
32739,42six Solutions,,TRUE
32846,4Catalyzer,,TRUE
34502,4D,,TRUE
29113,4finance,,TRUE
35485,4FRee,,TRUE
37388,4over,,TRUE
26861,4pi,,TRUE
34426,4Talent,,TRUE
32807,5 Monkeys Agency AB,,TRUE
32204,56K.Cloud,,TRUE
27742,5e Technologies,,TRUE
40437,5G Innovation Centre,,TRUE
39942,5G Testbed,,TRUE
38565,5G-Courses,5G-Courses,FALSE
36133,658 Designs,,TRUE
26659,6WIND,6WIND S.A.,TRUE
38330,6WIND S.A.,6WIND S.A.,FALSE
36765,724 Solutions Software Inc.,,TRUE
30451,77ps,,TRUE
34519,7deRàdio Barcelona,,TRUE
31536,7digital,,TRUE
30714,7N,,TRUE
32964,7th Heaven,,TRUE
29164,84bits,,TRUE
34620,888holdings,,TRUE
27660,8D Technologies,,TRUE
34428,8devices,,TRUE
32985,8i,,TRUE
32096,8thBridge,,TRUE
38743,99.co,,TRUE
27051,99cloud,99Cloud Inc.,TRUE
38229,99Tests.,,TRUE
28709,9LivesData,,TRUE
28377,a,,TRUE
39392,A Cloud Guru,A Cloud Guru,FALSE
30510,A firm,,TRUE
33769,A Priori,,TRUE
34110,A Retail Bank,,TRUE
34210,A-Tono,,TRUE
31113,A.P. Moller - Maersk,,TRUE
28581,a.s.,,TRUE
38771,A.S. Watson Group,,TRUE
36959,A.T.U Auto-Teile-Unger Handels,,TRUE
30766,A&RTech,,TRUE
39497,A1 Digital,,TRUE
32055,A1 Telekom Austria,,TRUE
28001,A10,A10 Networks,TRUE
32827,A10 Networks,A10 Networks,FALSE
33675,A2 Hosting,A2 Hosting,FALSE
29508,A9,,TRUE
37336,AAA,,TRUE
31189,aaa - all about apps,,TRUE
26725,Aalto,,TRUE
37115,Aalund & Heckermann Invest I/S,,TRUE
40547,Aarde,,TRUE
34664,Aarki,,TRUE
35546,Aarna Networks,Aarna Networks,FALSE
37717,Aarohi Communications,,TRUE
40501,AB Tasty,,TRUE
40575,"Abaco Systems, Inc.",,TRUE
27556,ABB,ABB Ltd,TRUE
39862,Abbott Laboratories,Abbott Laboratories,FALSE
38384,abc,,TRUE
32203,ABC Startsiden,,TRUE
28527,Abengoa,,TRUE
36795,AbhiAbhi.com,,TRUE
27695,Abilis Systems,,TRUE
28715,ABIn Bev,,TRUE
29013,Abios,,TRUE
34312,Abiquo,,TRUE
29401,Ably - Real-time Messaging,Ably Realtime,TRUE
36326,Ably Realtime,Ably Realtime,FALSE
39269,ABOUT YOU,,TRUE
36403,AboutYou,,TRUE
32212,Abraxas,,TRUE
38609,ABSA Group,Absa Group Limited,TRUE
31008,AbsMap,,TRUE
28058,Absolut Bank,,TRUE
33346,Absolute Softare,Absolute Software Corporation,TRUE
26866,"AbsoluteValue Systems, Inc.",,TRUE
33553,Abstract IT,,TRUE
34672,Abstract Tokenization,,TRUE
34308,Abto,,TRUE
31723,Abto Software,,TRUE
31227,Abyeti,,TRUE
29771,AC Technologies,,TRUE
32548,ACA IT-Solutions,,TRUE
36587,Academia Militar,,TRUE
40448,Academistic,,TRUE
35993,Academy Software Foundation,Academy Software Foundation,FALSE
26940,Acaleph,,TRUE
33445,Acando,,TRUE
40375,Acando Norge,,TRUE
29215,Accedo,,TRUE
34772,Accedo.,,TRUE
39565,Accedo.tv,,TRUE
31721,Accelerant Mobile,,TRUE
34318,Accelerator,,TRUE
39775,AccelerComm Ltd,,TRUE
39923,Accelya Group,,TRUE
28205,Accenture,Accenture,FALSE
34515,Accenture España,,TRUE
38350,Accenture Global Solutions Limited,Accenture Global Solutions Limited,FALSE
34940,Accenture in India,,TRUE
28054,Accenture India Pvt Ltd,Accenture Ltd.,TRUE
32958,Accenture The Netherlands,,TRUE
37314,ACCESS Europe GmbH,ACCESS Europe GmbH,FALSE
36719,AccessPay,,TRUE
29730,Accipiter Radar,,TRUE
38880,Accommodata,,TRUE
34393,Accor,,TRUE
36682,Accord Project,"Accord Project, LLC",TRUE
40826,Account TUV Rheinland of North America Inc,,TRUE
31618,Accton,Accton Technology Corporation,TRUE
36246,Aceblink,,TRUE
26374,Acelio,,TRUE
26450,Acer,Acer,FALSE
36147,Aceventura Services,,TRUE
35391,Achala IT Solutions Pvt Ltd,,TRUE
35341,ACI Worldwide,"ACI Worldwide, Inc.",TRUE
27787,Acision,Acision Czech Republic sro,TRUE
32856,Ackee UG,,TRUE
37787,Ackermann Marketing & PR,Ackermann Marketing & PR,FALSE
29312,Acknowledgement,,TRUE
32112,Aclima,,TRUE
31155,ACM,,TRUE
32213,ACME AtronOmatic,,TRUE
28011,Acme Systems srl,,TRUE
39848,ACOME,,TRUE
26621,Aconex,,TRUE
30306,Acorns,,TRUE
30200,ACOSS,,TRUE
39195,acpqualife,,TRUE
33883,ACQUIA,"Acquia, Inc.",TRUE
36593,Acrolinx,,TRUE
27634,Acronis,Acronis Inc.,TRUE
38375,Acronis Inc.,Acronis Inc.,FALSE
39181,Acsour,,TRUE
33261,Act-On Software,"Act-On Software, Inc.",TRUE
31422,ACTANO,,TRUE
30081,Actcat,,TRUE
38630,Actian,Actian Corporation,TRUE
32575,actimeo,,TRUE
35617,Actinius,,TRUE
28445,Actionml,,TRUE
31612,Actionstep,,TRUE
37320,Actiontec Electronics,Actiontec Electronics,FALSE
37993,Active,,TRUE
36769,Active Network,"Active Network, Inc.",TRUE
30180,Active Shadow,,TRUE
38776,ActiveCampaign,,TRUE
37011,ActivePipe,,TRUE
40514,ActiveProspect,ActiveProspect,FALSE
36568,ActiveSky Pvt Ltd,,TRUE
40010,ActiveState,"ActiveState Software, Inc.",TRUE
32433,ActiveVideo,,TRUE
34053,Activision,,TRUE
29961,Activision Blizzard,"Activision Blizzard, Inc",TRUE
29953,ActiviteState,,TRUE
35819,Activity,,TRUE
28142,Actuate Corporation,Actuate,TRUE
37677,acuista,acuista,FALSE
26183,Aculab,,TRUE
40391,Acumen,,TRUE
28874,Acumen Commercial Insights,,TRUE
36128,Acunu,,TRUE
35388,Acuris,,TRUE
33947,Ad Hoc,,TRUE
33313,AD.CO,,TRUE
28621,AD/FIN,,TRUE
30386,Ada,,TRUE
29849,Ada Support,,TRUE
34705,AdaCore,,TRUE
35690,Adafruit Industries,,TRUE
31820,Adallom,,TRUE
26324,Adamo,,TRUE
37430,Adapt,,TRUE
27284,Adaptec,,TRUE
31708,AdapTechSolutions,,TRUE
37971,Adaptiv Networks,,TRUE
35922,Adaptive AI Inc,,TRUE
27168,Adaptive Computing,Adaptive Computing,FALSE
38000,Adaptive Financial Consulting,,TRUE
32102,Adaptly,,TRUE
38888,Adatao,,TRUE
33916,Adatos.AI,,TRUE
33502,Adavantech Industried,,TRUE
35967,Adax,Adax,FALSE
39241,ADB,,TRUE
39594,ADB SAFEGATE,,TRUE
28705,Adblock Publisher Solutions,,TRUE
37926,adcastnxt,,TRUE
37863,Adchemy,,TRUE
40475,AdCombo,,TRUE
33761,Addepar,Addepar,FALSE
26177,ADDI-DATA GmbH,,TRUE
32105,Addision Precision Manufakturcturing,,TRUE
35199,AddThis,,TRUE
33806,AddVal Solutions,,TRUE
33339,Adelzaalouk,,TRUE
26367,Adeneo Embedded,Adeneo Embedded,FALSE
38454,ADENTIS,,TRUE
32595,ADEO,,TRUE
33563,adesso AG,,TRUE
34774,adesso SE,,TRUE
39930,Adesto Technologies,Adesto Technologies,FALSE
27646,Adetel Group,,TRUE
34791,Adevinta,,TRUE
34343,Adfinis SyGroup,,TRUE
33482,Adfinis SyGroup AG,,TRUE
28487,Adform,Adform,FALSE
33334,ADFOX,,TRUE
31751,AdGear,,TRUE
35806,adgoji,,TRUE
39002,Adhara,,TRUE
29421,AdHoc Networks,,TRUE
29678,adidas,,TRUE
31339,ADIT,,TRUE
30756,Adit Ltd,,TRUE
26355,ADLINK,,TRUE
28854,ADMAG,,TRUE
37946,ADMANIC,,TRUE
36288,Admiral,,TRUE
29371,Admiral Adblock,,TRUE
37103,Admiralty,,TRUE
28901,AdmitHub,,TRUE
28318,AdMobius,,TRUE
33207,AdNovum,,TRUE
29527,AdNovum Informatik AG,,TRUE
29342,Adobe,"Adobe Systems, Inc.",TRUE
28012,"Adobe Systems, Inc.","Adobe Systems, Inc.",FALSE
33480,adomik,,TRUE
37785,ADOMOS,,TRUE
34730,Adoric,,TRUE
29336,Adorsys,,TRUE
32062,AdoY,,TRUE
30226,ADP,,TRUE
32454,ADP Dealer Services,,TRUE
40846,ADP Inc,,TRUE
40223,AdPerfect,,TRUE
31615,AdPilot,,TRUE
26317,AdRem Technologies,,TRUE
30118,adRise,,TRUE
37017,Ads on Top,Ads on Top,FALSE
40439,Adstream,,TRUE
33745,Adtoma,,TRUE
33296,Adtran,Adtran,FALSE
33204,ADV Consulting,,TRUE
37211,ADVA,Adva Optical Networking SE,TRUE
38412,Adva Optical Networking SE,Adva Optical Networking SE,FALSE
38299,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",FALSE
38410,Advanced Systems Laboratory(ASL),,TRUE
34166,Advanced Technology Solutions (ATS),,TRUE
36736,Advanced Telecomunications,,TRUE
37629,AdvancedMD,,TRUE
40816,Advansoft,,TRUE
31423,Advantech,Advantech,FALSE
40067,Advertising,,TRUE
32914,Advertising Pecipes,,TRUE
30834,Adwanced,,TRUE
35484,Adwitiya Technologies,,TRUE
38929,ADWZ,,TRUE
28746,Adxto Solutions,,TRUE
32550,Adyen,,TRUE
33777,Aeho,,TRUE
33042,Aelogica,,TRUE
28933,AEON,,TRUE
28848,Aeream,,TRUE
30685,Aerial Applications,,TRUE
33981,AerisWeather,,TRUE
29708,Aerospike,Aerospike,FALSE
38246,"Aerospike, Inc",Aerospike,TRUE
28821,Aerotech,,TRUE
31279,Aerotek,,TRUE
35042,Aerotenna,,TRUE
31543,Aestetype Design,,TRUE
36225,AetherWorks,,TRUE
30533,Aetna,,TRUE
33058,Aeturnum,,TRUE
31747,AFA Försäkring,,TRUE
30512,Afero,,TRUE
29064,Affective Signals,,TRUE
36412,AffiniPay,,TRUE
33328,Affinity,,TRUE
36163,"Affirm, Inc",,TRUE
35254,Affirmative,,TRUE
36031,Affirmed Networks,,TRUE
37478,Affise,,TRUE
38022,Afilio,,TRUE
34994,AFour,,TRUE
27434,AG Interactive,,TRUE
38844,Agari,,TRUE
28954,Agavee,,TRUE
34803,Agência Equipe,,TRUE
37530,Agency Revolution,,TRUE
37879,Agency Work,,TRUE
29785,Agendaless Consulting,,TRUE
26517,AGETO Service GmbH,,TRUE
34003,Agfa HealthCare,,TRUE
31220,AgFlow,,TRUE
26748,AGH Solar Boat Team,,TRUE
33019,Agile Stacks,Agile Stacks,FALSE
